danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,liked
0.653,0.216,8,-10.203,1,0.0387,0.879,0.0982,0.467,117.688,171864,1
0.29,0.934,10,-4.679,0,0.0962,0.000325,0.453,0.18,112.834,225867,0
0.261,0.0149,1,-27.528,1,0.0419,0.992,0.102,0.0382,75.296,286987,0
0.707,0.353,11,-8.676,1,0.0441,0.835,0.106,0.822,80.938,198148,1
0.798,0.564,2,-5.98,1,0.047,0.23,0.183,0.394,108.004,254218,0
0.256,0.952,7,-8.631,0,0.103,2.19e-05,0.135,0.0724,144.481,206120,0
0.454,0.303,7,-7.992,1,0.0291,0.811,0.0834,0.178,99.738,159600,1
0.373,0.98,1,-5.016,0,0.122,0.000319,0.105,0.34,97.346,211947,0
0.499,0.351,9,-11.509,0,0.0448,0.951,0.118,0.616,90.664,235947,0
0.191,0.0317,9,-35.616,0,0.0407,0.984,0.0974,0.142,135.974,150733,0
0.814,0.672,9,-12.068,1,0.0619,0.0435,0.061,0.933,109.394,300000,0
0.456,0.456,11,-16.055,0,0.0535,0.973,0.186,0.974,144.489,210680,0
0.606,0.0852,11,-17.63,0,0.041,0.938,0.0977,0.197,127.984,111231,1
0.297,0.973,1,-4.505,1,0.151,0.00146,0.139,0.234,102.757,170520,0
0.673,0.322,4,-9.838,0,0.0346,0.818,0.0972,0.206,114.838,157337,1
0.235,0.365,7,-13.864,1,0.0356,0.927,0.17,0.126,91.187,183667,0
0.826,0.76,11,-6.382,0,0.117,0.392,0.132,0.813,99.974,216285,0
0.435,0.237,7,-12.096,1,0.178,0.943,0.242,0.375,169.467,221935,1
0.432,0.21,9,-8.862,0,0.0432,0.576,0.113,0.0382,75.153,153176,1
0.307,0.0515,4,-28.493,0,0.0324,0.708,0.42,0.154,128.056,125533,0
0.213,0.0656,7,-24.81,1,0.0467,0.992,0.0699,0.0384,65.023,150147,0
0.379,0.075,0,-20.328,1,0.0408,0.992,0.106,0.0353,68.232,241187,0
0.448,0.97,1,-4.197,1,0.105,0.000428,0.376,0.381,119.215,123880,0
0.909,0.582,7,-5.357,1,0.0665,0.0696,0.0984,0.844,126.063,249598,0
0.601,0.493,10,-6.863,1,0.0323,0.264,0.119,0.345,113.029,272223,1
0.567,0.341,9,-10.288,1,0.037,0.848,0.34,0.237,74.967,208500,1
0.509,0.115,6,-13.313,0,0.0449,0.931,0.0878,0.64,80.4,200471,1
0.539,0.487,1,-9.653,1,0.202,0.309,0.097,0.375,169.985,186353,0
0.599,0.188,10,-12.83,1,0.0348,0.941,0.113,0.602,81.321,165652,1
0.688,0.569,10,-7.007,0,0.0375,0.392,0.12,0.359,109.041,252373,0
0.433,0.0452,10,-14.557,0,0.0441,0.953,0.101,0.448,145.855,202905,1
0.579,0.208,4,-12.946,1,0.0375,0.367,0.0979,0.288,114.115,184411,1
0.832,0.553,7,-13.705,1,0.0487,0.0422,0.249,0.89,119.825,215693,0
0.392,0.0536,4,-23.399,1,0.0571,0.995,0.0808,0.0417,71.286,234467,0
0.191,0.0582,8,-25.398,1,0.0578,0.961,0.0941,0.0454,132.614,357707,0
0.34,0.217,10,-14.292,1,0.0529,0.95,0.151,0.341,174.614,209318,1
0.647,0.215,9,-11.567,0,0.0316,0.704,0.0958,0.143,110.095,154909,1
0.583,0.381,9,-10.033,0,0.0429,0.416,0.0958,0.153,127.667,316378,0
0.462,0.165,7,-11.985,1,0.0463,0.906,0.112,0.3,133.439,225385,1
0.266,0.986,8,-8.346,0,0.166,0.000386,0.43,0.302,86.179,245773,0
0.463,0.155,5,-17.164,1,0.044,0.877,0.105,0.222,122.437,301720,0
0.735,0.13,2,-16.096,1,0.0378,0.792,0.109,0.482,118.044,126065,1
0.333,0.14,4,-10.884,1,0.0299,0.932,0.11,0.194,97.937,269715,1
0.673,0.149,0,-12.911,1,0.0414,0.906,0.0884,0.389,118.046,190678,1
0.618,0.272,1,-10.945,0,0.0361,0.835,0.136,0.346,123.904,129677,1
0.791,0.302,11,-10.793,0,0.0382,0.844,0.0816,0.503,99.946,122400,1
0.334,0.187,0,-11.839,1,0.0398,0.862,0.136,0.575,185.187,163370,1
0.597,0.129,4,-14.498,0,0.041,0.915,0.12,0.326,122.03,190804,1
0.664,0.205,0,-9.56,1,0.0373,0.907,0.0919,0.316,119.837,208036,1
0.608,0.471,0,-8.664,1,0.0945,0.446,0.369,0.682,70.702,165800,0
0.563,0.197,9,-15.173,1,0.0722,0.906,0.109,0.358,123.899,199355,1
0.598,0.673,2,-10.431,1,0.0693,0.0422,0.289,0.59,102.035,197693,0
0.797,0.468,2,-9.28,0,0.0278,0.6,0.0623,0.628,108.628,248440,0
